TRACTCE,BLKGRPCE,,,
40500,1,,,
40400,1,,,
40200,2,,,
30500,2,,,
30500,1,,,
20300,1,,,
20100,4,,,
262000,1,,,
261500,1,,,
261400,2,,,
261200,1,,,
260900,1,,,
260700,2,,,
563100,2,,,
562400,5,,,
981000,1,,,
563200,3,,,
10300,3,,,
20100,6,,,
981800,1,,,
562000,2,,,
151600,2,,,
160800,1,,,
101800,2,,,
60300,1,,,
80200,2,,,
290400,3,,,
981100,1,,,
190300,1,,,
191100,2,,,
190300,2,,,
191400,1,,,
141400,2,,,
151700,6,,,
192000,2,,,
261400,3,,,
192000,4,,,
192000,3,,,
192000,5,,,
320400,1,,,
320400,2,,,
320600,1,,,
320700,1,,,
320700,2,,,
130600,3,,,
130600,2,,,
130400,3,,,
130400,2,,,
170200,1,,,
170200,3,,,
170200,2,,,
180300,3,,,
170600,1,,,
170600,3,,,
20100,3,,,
20100,2,,,
20100,1,,,
10300,2,,,
10300,1,,,
260700,1,,,
260200,3,,,
260200,2,,,
260200,1,,,
250900,2,,,
562600,1,,,
562400,2,,,
562900,1,,,
980000,1,,,
561900,2,,,
130600,1,,,
40900,3,,,
562300,5,,,
562300,3,,,
20100,5,,,
170600,2,,,
180300,2,,,
180300,1,,,
180700,2,,,
180700,3,,,
180700,1,,,
120300,1,,,
111500,4,,,
111500,3,,,
111500,2,,,
111500,1,,,
562800,1,,,
310300,1,,,
111400,2,,,
111400,1,,,
111300,4,,,
111300,3,,,
111300,2,,,
111300,1,,,
110600,3,,,
110600,1,,,
110200,4,,,
151700,4,,,
151700,3,,,
151700,2,,,
151700,1,,,
151600,3,,,
151600,1,,,
141400,3,,,
141400,1,,,
141300,3,,,
250700,1,,,
250300,1,,,
241200,2,,,
241200,1,,,
240600,2,,,
240600,1,,,
220600,2,,,
562300,2,,,
191600,3,,,
191600,1,,,
191600,5,,,
191600,2,,,
191600,4,,,
191700,1,,,
101600,1,,,
101400,4,,,
101400,3,,,
101400,1,,,
101100,2,,,
101100,1,,,
100500,2,,,
90100,2,,,
90200,3,,,
191500,1,,,
141300,2,,,
141300,1,,,
141100,1,,,
110200,1,,,
101800,1,,,
101700,2,,,
101700,1,,,
220600,1,,,
210700,2,,,
210700,1,,,
980100,1,,,
10300,4,,,
101100,3,,,
140600,3,,,
141400,4,,,
